name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Nos Siguen Pegando Abajo	1	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	4VikOud5ZmdmHH6h7uQeDB	0.655	0.894	2	-7.696	1	0.0994	0.0271	0.0684	0.0414	0.785	152.354	206720	4	spotify:track:4VikOud5ZmdmHH6h7uQeDB	https://api.spotify.com/v1/audio-analysis/4VikOud5ZmdmHH6h7uQeDB
No Soy Un Extraño	2	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	5f3EtD85N6tTekD3HVja4j	0.7	0.707	7	-9.896	0	0.0305	0.288	0.0166	0.325	0.641	117.183	195733	4	spotify:track:5f3EtD85N6tTekD3HVja4j	https://api.spotify.com/v1/audio-analysis/5f3EtD85N6tTekD3HVja4j
Dos Cero Uno	3	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	1JR6i97DVXhvUHyROnUdVF	0.722	0.511	5	-10.442	1	0.196	0.693	0.00659	0.0595	0.553	175.054	128493	4	spotify:track:1JR6i97DVXhvUHyROnUdVF	https://api.spotify.com/v1/audio-analysis/1JR6i97DVXhvUHyROnUdVF
Nuevos Trapos	4	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	0eChv3249vAoIl9oVlDPSP	0.693	0.674	3	-7.935	1	0.0329	0.00776	0.00588	0.114	0.906	131.317	245040	4	spotify:track:0eChv3249vAoIl9oVlDPSP	https://api.spotify.com/v1/audio-analysis/0eChv3249vAoIl9oVlDPSP
Bancate Ese Defecto	5	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	5SoJgMbosyJLHLk7ThuFmr	0.528	0.738	7	-8.569	1	0.0476	0.307	0.244	0.107	0.702	183.81	294987	4	spotify:track:5SoJgMbosyJLHLk7ThuFmr	https://api.spotify.com/v1/audio-analysis/5SoJgMbosyJLHLk7ThuFmr
No Me Dejan Salir	6	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	6P6rudfmKr7FyArdyEs0Mk	0.72	0.784	0	-7.905	1	0.103	0.075	0.108	0.0482	0.963	162.362	263200	4	spotify:track:6P6rudfmKr7FyArdyEs0Mk	https://api.spotify.com/v1/audio-analysis/6P6rudfmKr7FyArdyEs0Mk
Los Dinosaurios	7	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	3VCKdfJAL8DTDlwZw5O6Ik	0.415	0.621	5	-6.519	1	0.0337	0.741	0.00111	0.134	0.386	83.43	208093	4	spotify:track:3VCKdfJAL8DTDlwZw5O6Ik	https://api.spotify.com/v1/audio-analysis/3VCKdfJAL8DTDlwZw5O6Ik
Plateado Sobre Plateado (Huellas En El Mar)	8	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	1zzhZAlwmdoJYhMqfL7EIj	0.647	0.652	9	-9.244	0	0.0389	0.225	0.00585	0.101	0.359	133.298	298307	4	spotify:track:1zzhZAlwmdoJYhMqfL7EIj	https://api.spotify.com/v1/audio-analysis/1zzhZAlwmdoJYhMqfL7EIj
Ojos De Video Tape	9	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	6BqgYMoeuiXk3buXaDvfGm	0.496	0.458	5	-10.069	1	0.026	0.673	0.00145	0.413	0.306	105.583	215493	4	spotify:track:6BqgYMoeuiXk3buXaDvfGm	https://api.spotify.com/v1/audio-analysis/6BqgYMoeuiXk3buXaDvfGm
