name,track_number,album_id,album_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url
Canción para Mi Muerte,1,1hNb84RaofemsO09nWOObn,Obras Cumbres,7k0q1k52nXzGy9xQgSDaGR,0.457,0.278,0,-18.051,1,0.0339,0.648,3.88e-6,0.101,0.483,130.832,215907,4,spotify:track:7k0q1k52nXzGy9xQgSDaGR,https://api.spotify.com/v1/audio-analysis/7k0q1k52nXzGy9xQgSDaGR
Rasguña las Piedras,2,NA,NA,3RsUrQBuIWRi00MBCniKU8,0.279,0.346,7,-12.609,1,0.0444,0.239,0,0.0798,0.309,162.506,191227,4,spotify:track:3RsUrQBuIWRi00MBCniKU8,https://api.spotify.com/v1/audio-analysis/3RsUrQBuIWRi00MBCniKU8
"Quizás, Porque",3,NA,NA,25ddfpiP4IptZTRHVXcTsl,0.394,0.019,2,-27.167,1,0.0501,0.937,4.27e-4,0.125,0.212,77.722,132973,4,spotify:track:25ddfpiP4IptZTRHVXcTsl,https://api.spotify.com/v1/audio-analysis/25ddfpiP4IptZTRHVXcTsl
Necesito,4,NA,NA,4ZTGoI4457pYqBpnv6Q1KH,0.641,0.169,7,-18.195,1,0.0462,0.457,0,0.124,0.198,101.864,133960,4,spotify:track:4ZTGoI4457pYqBpnv6Q1KH,https://api.spotify.com/v1/audio-analysis/4ZTGoI4457pYqBpnv6Q1KH
Confesiones de Invierno,5,NA,NA,5RmLAGgmyK4eEAcitgMwED,0.477,0.148,2,-15.794,1,0.0312,0.791,0,0.0602,0.263,97.825,245333,4,spotify:track:5RmLAGgmyK4eEAcitgMwED,https://api.spotify.com/v1/audio-analysis/5RmLAGgmyK4eEAcitgMwED
Aprendizaje,6,NA,NA,5sgSFmWDkxj0nn57u1IobT,0.407,0.15,7,-17.234,1,0.034,0.567,4.13e-5,0.119,0.141,117.493,225400,4,spotify:track:5sgSFmWDkxj0nn57u1IobT,https://api.spotify.com/v1/audio-analysis/5sgSFmWDkxj0nn57u1IobT
Bienvenidos al Tren,7,NA,NA,2ktpn5Vee4dQGVDgkovJLZ,0.433,0.367,7,-14.091,1,0.0304,0.0466,3.79e-6,0.347,0.481,125.517,194333,3,spotify:track:2ktpn5Vee4dQGVDgkovJLZ,https://api.spotify.com/v1/audio-analysis/2ktpn5Vee4dQGVDgkovJLZ
Estación,8,NA,NA,6DUfatWAWs9cFVWvNL0jwB,0.493,0.295,4,-16.225,0,0.0481,0.77,1.09e-6,0.0951,0.484,125.919,90973,4,spotify:track:6DUfatWAWs9cFVWvNL0jwB,https://api.spotify.com/v1/audio-analysis/6DUfatWAWs9cFVWvNL0jwB
El Fantasma de Canterville (En Vivo),9,NA,NA,0UYlS3k9Fu2XMi7rURrjFc,0.465,0.372,2,-14.127,1,0.0311,0.695,0,0.917,0.485,106.391,235000,4,spotify:track:0UYlS3k9Fu2XMi7rURrjFc,https://api.spotify.com/v1/audio-analysis/0UYlS3k9Fu2XMi7rURrjFc
Cuando Comenzamos a Nacer,10,NA,NA,5Hh8Jnk9uMugxiivIouaAB,0.425,0.22,9,-16.671,0,0.0391,0.62,1.26e-5,0.0812,0.314,137.482,163160,4,spotify:track:5Hh8Jnk9uMugxiivIouaAB,https://api.spotify.com/v1/audio-analysis/5Hh8Jnk9uMugxiivIouaAB
Cuando Ya Me Empiece a Quedar Solo,11,NA,NA,0ZMS4G45AL9FSJDhY2OZeJ,0.342,0.06,7,-15.858,0,0.0357,0.842,0,0.155,0.101,119.792,217960,4,spotify:track:0ZMS4G45AL9FSJDhY2OZeJ,https://api.spotify.com/v1/audio-analysis/0ZMS4G45AL9FSJDhY2OZeJ
Mr. Jones o Pequeña Semblanza de una Familia Tipo Americana,12,NA,NA,3fiOQAa6ZTbWeOcNtM58dG,0.528,0.717,1,-10.335,0,0.0533,0.113,0.00284,0.2,0.925,139.018,104373,4,spotify:track:3fiOQAa6ZTbWeOcNtM58dG,https://api.spotify.com/v1/audio-analysis/3fiOQAa6ZTbWeOcNtM58dG
Botas Locas,13,NA,NA,5PsuMmMJQxPHGuSZHZr82k,0.557,0.435,7,-12.986,1,0.0309,0.632,0,0.0985,0.626,130.854,294733,4,spotify:track:5PsuMmMJQxPHGuSZHZr82k,https://api.spotify.com/v1/audio-analysis/5PsuMmMJQxPHGuSZHZr82k
El Tuerto y los Ciegos,14,NA,NA,6yNQQj7AxYZoyccRfQUojk,0.53,0.377,4,-12.123,0,0.0389,0.512,9.61e-5,0.25,0.439,91.359,124427,4,spotify:track:6yNQQj7AxYZoyccRfQUojk,https://api.spotify.com/v1/audio-analysis/6yNQQj7AxYZoyccRfQUojk
Instituciones,15,NA,NA,3u2VKXTbNC0J6bZlkij6MH,0.313,0.293,4,-14.487,0,0.0335,0.195,0.059,0.445,0.176,90.938,291333,4,spotify:track:3u2VKXTbNC0J6bZlkij6MH,https://api.spotify.com/v1/audio-analysis/3u2VKXTbNC0J6bZlkij6MH
Para Quien Canto Yo Entonces,16,NA,NA,06NxN9jE1exVed0KUZldTb,0.383,0.234,2,-15.378,1,0.033,0.424,3.93e-4,0.157,0.44,159.429,222427,4,spotify:track:06NxN9jE1exVed0KUZldTb,https://api.spotify.com/v1/audio-analysis/06NxN9jE1exVed0KUZldTb
Pequeñas Delicias de la Vida Conyugal,17,NA,NA,3a2CtlbdAOCfFUq8ih5DRT,0.403,0.553,0,-10.87,1,0.0706,0.144,6.04e-5,0.123,0.504,100.489,221507,4,spotify:track:3a2CtlbdAOCfFUq8ih5DRT,https://api.spotify.com/v1/audio-analysis/3a2CtlbdAOCfFUq8ih5DRT
Lunes Otra Vez,18,NA,NA,4ymqFJPXNb1aaLLg259WM6,0.617,0.44,7,-12.252,1,0.0386,0.059,0,0.184,0.767,122.882,190200,4,spotify:track:4ymqFJPXNb1aaLLg259WM6,https://api.spotify.com/v1/audio-analysis/4ymqFJPXNb1aaLLg259WM6
"Natalio Ruiz, el Hombrecito del Sombrero Gris",19,NA,NA,4cXA17hOXbo7wJ3BPDwwY9,0.411,0.111,7,-18.345,1,0.0383,0.893,0,0.0594,0.198,141.132,223800,3,spotify:track:4cXA17hOXbo7wJ3BPDwwY9,https://api.spotify.com/v1/audio-analysis/4cXA17hOXbo7wJ3BPDwwY9
Alto en la Torre,20,NA,NA,0RF11lF3Q4w7Pb1SdF7HUa,0.29,0.242,2,-11.911,1,0.0302,0.914,0.017,0.147,0.122,82.252,281440,4,spotify:track:0RF11lF3Q4w7Pb1SdF7HUa,https://api.spotify.com/v1/audio-analysis/0RF11lF3Q4w7Pb1SdF7HUa
Canción para Mi Muerte,1,5XBgXYEw2flQFZDW1I8lFS,Sí o Sí - Diario del Rock Argentino - Sui Generis,0LWO6hUTJz6KBrSA2iJOpH,0.457,0.516,0,-9.805,1,0.0299,0.624,4.26e-4,0.114,0.495,131.122,215893,4,spotify:track:0LWO6hUTJz6KBrSA2iJOpH,https://api.spotify.com/v1/audio-analysis/0LWO6hUTJz6KBrSA2iJOpH
Estación,2,NA,NA,01Y5NXtQsIZTdc7sJ4qkt4,0.509,0.471,4,-10.319,0,0.0409,0.744,0,0.0988,0.396,125.779,90960,4,spotify:track:01Y5NXtQsIZTdc7sJ4qkt4,https://api.spotify.com/v1/audio-analysis/01Y5NXtQsIZTdc7sJ4qkt4
"Quizás, Porque",3,NA,NA,2ad23zCS3KMuCiVhsFdoVs,0.504,0.106,2,-17.592,1,0.0364,0.95,6.59e-5,0.109,0.344,93.9,133053,3,spotify:track:2ad23zCS3KMuCiVhsFdoVs,https://api.spotify.com/v1/audio-analysis/2ad23zCS3KMuCiVhsFdoVs
Cuando Comenzamos a Nacer,4,NA,NA,5qlWsSCpHCZrpvbupaukRd,0.408,0.396,9,-11.209,0,0.0332,0.499,3e-4,0.11,0.305,137.397,162253,4,spotify:track:5qlWsSCpHCZrpvbupaukRd,https://api.spotify.com/v1/audio-analysis/5qlWsSCpHCZrpvbupaukRd
Cuando Ya Me Empiece a Quedar Solo,5,NA,NA,3v3PFmB9g8UbaiU0JSbTEJ,0.3,0.115,7,-12.241,0,0.0313,0.863,0,0.124,0.0811,95.057,214720,4,spotify:track:3v3PFmB9g8UbaiU0JSbTEJ,https://api.spotify.com/v1/audio-analysis/3v3PFmB9g8UbaiU0JSbTEJ
Bienvenidos al Tren,6,NA,NA,5HKGNFseOONBgVch7TLSKZ,0.427,0.515,7,-8.595,1,0.0287,0.0506,0,0.206,0.398,125.97,191533,3,spotify:track:5HKGNFseOONBgVch7TLSKZ,https://api.spotify.com/v1/audio-analysis/5HKGNFseOONBgVch7TLSKZ
Confesiones de Invierno,7,NA,NA,0li7GMUjTRSQ8YVPn5LkXG,0.463,0.192,2,-12.955,1,0.0307,0.854,0,0.0772,0.26,95.348,242507,4,spotify:track:0li7GMUjTRSQ8YVPn5LkXG,https://api.spotify.com/v1/audio-analysis/0li7GMUjTRSQ8YVPn5LkXG
Rasguña las Piedras,8,NA,NA,7fOmccYDDrxF9GDwG2l608,0.381,0.477,7,-8.298,1,0.0402,0.123,0,0.133,0.306,82.118,183773,4,spotify:track:7fOmccYDDrxF9GDwG2l608,https://api.spotify.com/v1/audio-analysis/7fOmccYDDrxF9GDwG2l608
Aprendizaje,9,NA,NA,1A2J9qrUbsQHI0vbETIclz,0.416,0.236,7,-12.033,1,0.0305,0.593,2.17e-4,0.122,0.131,117.507,222387,4,spotify:track:1A2J9qrUbsQHI0vbETIclz,https://api.spotify.com/v1/audio-analysis/1A2J9qrUbsQHI0vbETIclz
Mr. Jones o Pequeña Semblanza de una Familia Tipo Americana,10,NA,NA,4BRtXwhl1UB6bLJUNrxn8z,0.526,0.865,1,-6.144,0,0.0497,0.138,8.08e-4,0.204,0.932,139.099,100853,4,spotify:track:4BRtXwhl1UB6bLJUNrxn8z,https://api.spotify.com/v1/audio-analysis/4BRtXwhl1UB6bLJUNrxn8z
Alto en la Torre,11,NA,NA,2kaUSVi6BXYoLtIGXwcYz8,0.271,0.256,2,-11.461,1,0.0305,0.913,0.00907,0.109,0.132,82.915,279427,4,spotify:track:2kaUSVi6BXYoLtIGXwcYz8,https://api.spotify.com/v1/audio-analysis/2kaUSVi6BXYoLtIGXwcYz8
Juan Represión,12,NA,NA,7mHWHfg1GwNASYcyjQ93Wo,0.433,0.319,0,-12.997,1,0.0331,0.547,0,0.152,0.202,124.027,207080,4,spotify:track:7mHWHfg1GwNASYcyjQ93Wo,https://api.spotify.com/v1/audio-analysis/7mHWHfg1GwNASYcyjQ93Wo
Botas Locas,13,NA,NA,4sArWJa3BoxyHBgKhyHnAi,0.547,0.54,7,-9.639,1,0.0292,0.437,0,0.101,0.678,130.968,294347,4,spotify:track:4sArWJa3BoxyHBgKhyHnAi,https://api.spotify.com/v1/audio-analysis/4sArWJa3BoxyHBgKhyHnAi
Instituciones,14,NA,NA,4lbb8zGHPUwWNQkzBBYrl3,0.347,0.379,4,-11.237,0,0.0372,0.175,0.0686,0.678,0.114,127.026,288827,3,spotify:track:4lbb8zGHPUwWNQkzBBYrl3,https://api.spotify.com/v1/audio-analysis/4lbb8zGHPUwWNQkzBBYrl3
Pequeñas Delicias de la Vida Conyugal,15,NA,NA,3VahJnLWVm5OuhXqqH4puE,0.399,0.653,0,-7.991,1,0.0585,0.129,1.42e-5,0.254,0.489,104.828,217987,4,spotify:track:3VahJnLWVm5OuhXqqH4puE,https://api.spotify.com/v1/audio-analysis/3VahJnLWVm5OuhXqqH4puE
El Tuerto y los Ciegos,16,NA,NA,2RCgdy763cEILNpQsWZUe9,0.507,0.425,4,-9.852,0,0.0401,0.53,0,0.397,0.407,91.624,123240,4,spotify:track:2RCgdy763cEILNpQsWZUe9,https://api.spotify.com/v1/audio-analysis/2RCgdy763cEILNpQsWZUe9
Para Quien Canto Yo Entonces,17,NA,NA,6PqiSTPmMjdD8Lz3Nutaqn,0.393,0.318,2,-11.807,1,0.0302,0.334,2.42e-5,0.0939,0.436,159.135,221267,4,spotify:track:6PqiSTPmMjdD8Lz3Nutaqn,https://api.spotify.com/v1/audio-analysis/6PqiSTPmMjdD8Lz3Nutaqn
Bubulina (En Vivo),18,NA,NA,0fiiH0TJ7Fd8uShfeSHAo1,0.327,0.444,9,-9.8,0,0.0368,0.48,4.66e-4,0.394,0.0443,122.622,314573,4,spotify:track:0fiiH0TJ7Fd8uShfeSHAo1,https://api.spotify.com/v1/audio-analysis/0fiiH0TJ7Fd8uShfeSHAo1
El Fantasma de Canterville (En Vivo),19,NA,NA,0Bf0iAW3tpaCr70YQoJTBo,0.485,0.499,7,-8.89,1,0.0325,0.674,0,0.42,0.417,109.867,238987,4,spotify:track:0Bf0iAW3tpaCr70YQoJTBo,https://api.spotify.com/v1/audio-analysis/0Bf0iAW3tpaCr70YQoJTBo
Blues del Levante (En Vivo),20,NA,NA,18wJ45noZ0G248sqCQgM29,0.318,0.975,9,-7.66,1,0.199,0.0103,0.0496,0.359,0.344,137.3,332627,4,spotify:track:18wJ45noZ0G248sqCQgM29,https://api.spotify.com/v1/audio-analysis/18wJ45noZ0G248sqCQgM29
Instituciones,1,2bW96QNHxL6oDb7kERQrA1,Pequenas Anécdotas Sobre Las Instituciones,0RPoVlxtkhJPaeeCNHTy85,0.338,0.293,4,-14.487,0,0.0376,0.195,0.059,0.445,0.17,129.13,291333,3,spotify:track:0RPoVlxtkhJPaeeCNHTy85,https://api.spotify.com/v1/audio-analysis/0RPoVlxtkhJPaeeCNHTy85
Tango en Segunda,2,NA,NA,34NGjr3W7K9E484f7C5xVf,0.387,0.0988,2,-16.605,0,0.0418,0.166,0.0345,0.104,0.079,130.848,212560,4,spotify:track:34NGjr3W7K9E484f7C5xVf,https://api.spotify.com/v1/audio-analysis/34NGjr3W7K9E484f7C5xVf
El Show de los Muertos,3,NA,NA,17FYhYGPE8yuPsgVjgsUCF,0.266,0.198,0,-17.846,1,0.0372,0.459,0.00393,0.115,0.0624,94.579,364440,3,spotify:track:17FYhYGPE8yuPsgVjgsUCF,https://api.spotify.com/v1/audio-analysis/17FYhYGPE8yuPsgVjgsUCF
Las Increíbles Aventuras del Señor Tijeras,4,NA,NA,2uA4FXyh81Y8k8s3765eQP,0.378,0.252,2,-15.181,1,0.0359,0.424,0.0328,0.146,0.239,99.815,350627,4,spotify:track:2uA4FXyh81Y8k8s3765eQP,https://api.spotify.com/v1/audio-analysis/2uA4FXyh81Y8k8s3765eQP
Pequeñas Delicias de la Vida Conyugal,5,NA,NA,1AauFM0V5DBNNwdTJfKGnr,0.407,0.553,0,-10.87,1,0.0672,0.143,6.04e-5,0.124,0.504,101.113,221507,4,spotify:track:1AauFM0V5DBNNwdTJfKGnr,https://api.spotify.com/v1/audio-analysis/1AauFM0V5DBNNwdTJfKGnr
El Tuerto y los Ciegos,6,NA,NA,0bw2E2SxjzdkgFsUAjsPyY,0.53,0.377,4,-12.123,0,0.0389,0.512,9.61e-5,0.25,0.438,91.359,124427,4,spotify:track:0bw2E2SxjzdkgFsUAjsPyY,https://api.spotify.com/v1/audio-analysis/0bw2E2SxjzdkgFsUAjsPyY
Música de Fondo para Cualquier Fiesta Animada,7,NA,NA,4yZRxPbtpSgVVUqWRdpFig,0.263,0.508,4,-11.17,0,0.0518,0.153,0.008,0.0822,0.227,81.619,275240,4,spotify:track:4yZRxPbtpSgVVUqWRdpFig,https://api.spotify.com/v1/audio-analysis/4yZRxPbtpSgVVUqWRdpFig
Tema de Natalio,8,NA,NA,1SZxb2DCnJ0Gkgq2GGQ4O8,0.308,0.339,4,-15.66,0,0.0338,0.315,0.787,0.246,0.198,101.889,367067,4,spotify:track:1SZxb2DCnJ0Gkgq2GGQ4O8,https://api.spotify.com/v1/audio-analysis/1SZxb2DCnJ0Gkgq2GGQ4O8
Para Quien Canto Yo Entonces,9,NA,NA,1ynRpHMKckzDNe0lDCpPUk,0.382,0.234,2,-15.378,1,0.033,0.424,3.91e-4,0.157,0.44,159.427,222427,4,spotify:track:1ynRpHMKckzDNe0lDCpPUk,https://api.spotify.com/v1/audio-analysis/1ynRpHMKckzDNe0lDCpPUk
Juan Represión,10,NA,NA,6MmAJ62nNmwEru24dcHACu,0.431,0.235,0,-16.806,1,0.039,0.576,1.49e-6,0.145,0.174,124.499,208307,4,spotify:track:6MmAJ62nNmwEru24dcHACu,https://api.spotify.com/v1/audio-analysis/6MmAJ62nNmwEru24dcHACu
Botas Locas,11,NA,NA,4Bz99HLFhEqyzVxCHKGGpA,0.556,0.435,7,-12.986,1,0.0309,0.632,0,0.0985,0.626,130.854,294733,4,spotify:track:4Bz99HLFhEqyzVxCHKGGpA,https://api.spotify.com/v1/audio-analysis/4Bz99HLFhEqyzVxCHKGGpA
