name,track_number,album_id,album_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url
Me Tiré Por Vos,7,NA,NA,4W8nUCLOe1BiqGuIkzwfMx,0.393,0.863,5,-6.172,0,0.0457,0.135,0,0.383,0.64,209.666,248853,4,spotify:track:4W8nUCLOe1BiqGuIkzwfMx,https://api.spotify.com/v1/audio-analysis/4W8nUCLOe1BiqGuIkzwfMx
Tango En Segunda - Live,8,NA,NA,5TQkYrcfbyTEIzWOrpflf0,0.207,0.483,10,-7.613,1,0.0296,0.249,0.00144,0.646,0.0736,141.193,186053,4,spotify:track:5TQkYrcfbyTEIzWOrpflf0,https://api.spotify.com/v1/audio-analysis/5TQkYrcfbyTEIzWOrpflf0
El Día Que Apagaron La Luz,1,0o1vBzs2qzSeXlzC6ewcOf,Sinfonía Para Adolescentes,2ls5Nls2vswpcxsC0HlVZr,0.71,0.885,7,-4.77,1,0.0408,0.402,0.00486,0.548,0.56,106.086,270987,4,spotify:track:2ls5Nls2vswpcxsC0HlVZr,https://api.spotify.com/v1/audio-analysis/2ls5Nls2vswpcxsC0HlVZr
Usame Un Poquito Más (Take Me For A Little While),2,NA,NA,6jzagw0Qflqri5Gx0piIYS,0.57,0.926,6,-5.422,0,0.0314,0.0366,1.74e-4,0.306,0.571,94.704,271933,4,spotify:track:6jzagw0Qflqri5Gx0piIYS,https://api.spotify.com/v1/audio-analysis/6jzagw0Qflqri5Gx0piIYS
Yo Soy Su Papá (Can We Still Be Friends?),3,NA,NA,1j76TI5m37PATOCemwrohD,0.374,0.797,5,-3.399,1,0.033,0.181,0.202,0.137,0.671,179.204,283307,4,spotify:track:1j76TI5m37PATOCemwrohD,https://api.spotify.com/v1/audio-analysis/1j76TI5m37PATOCemwrohD
Afuera De La Ciudad,4,NA,NA,4WdwxOXvAM1w1bSJGWxu15,0.547,0.718,7,-6.242,1,0.0403,0.116,0.0047,0.243,0.305,134.833,304080,4,spotify:track:4WdwxOXvAM1w1bSJGWxu15,https://api.spotify.com/v1/audio-analysis/4WdwxOXvAM1w1bSJGWxu15
Tu Pueblo También (Her Town Too),5,NA,NA,74kcUgGyUwm5rnQwKGsko7,0.752,0.837,0,-5.672,1,0.0262,0.13,2.98e-4,0.33,0.962,104.702,248733,4,spotify:track:74kcUgGyUwm5rnQwKGsko7,https://api.spotify.com/v1/audio-analysis/74kcUgGyUwm5rnQwKGsko7
Cuando Te Vayas,6,NA,NA,2s8089EmkUwB44RzBdKX8u,0.668,0.61,6,-6.566,0,0.0477,0.169,0.0029,0.271,0.88,99.666,127120,4,spotify:track:2s8089EmkUwB44RzBdKX8u,https://api.spotify.com/v1/audio-analysis/2s8089EmkUwB44RzBdKX8u
No Es El Fin,7,NA,NA,0HSAtrWsuNpTgq4oMFelEw,0.534,0.752,11,-7.444,0,0.169,0.324,0.5,0.198,0.689,131.968,215213,4,spotify:track:0HSAtrWsuNpTgq4oMFelEw,https://api.spotify.com/v1/audio-analysis/0HSAtrWsuNpTgq4oMFelEw
Todos Van A News Cafe,8,NA,NA,1mZk8hx3YpaVu4k8Cxa89O,0.562,0.981,5,-3.174,1,0.0966,0.0154,0.0324,0.927,0.706,112.231,150880,4,spotify:track:1mZk8hx3YpaVu4k8Cxa89O,https://api.spotify.com/v1/audio-analysis/1mZk8hx3YpaVu4k8Cxa89O
